"station_id","name","lat","lon","capacity","last_updated"
"68eaf9f5-7b2d-4f60-9f02-9f5ba1103f80","Broad Branch Rd & Northampton St NW",38.9657749934222,-77.0686264336109,19,2024-12-04 10:13:44
"082605b0-1f3f-11e7-bf6b-3863bb334450","Georgia & Missouri Ave NW",38.961339,-77.027855,19,2024-12-04 10:13:44
"0824773f-1f3f-11e7-bf6b-3863bb334450","Calvert & Biltmore St NW",38.923203,-77.047637,23,2024-12-04 10:13:44
"08262494-1f3f-11e7-bf6b-3863bb334450","Mount Vernon Ave & Four Mile Run Park",38.843422,-77.064016,15,2024-12-04 10:13:44
"08254943-1f3f-11e7-bf6b-3863bb334450","14th & Upshur St NW",38.9424753556028,-77.0326781272888,19,2024-12-04 10:13:44
"08256e11-1f3f-11e7-bf6b-3863bb334450","Washington & Independence Ave SW/HHS",38.886978,-77.013769,31,2024-12-04 10:13:44
"c0ec45a3-ec59-4c82-9671-13d9c122be30","North Village and Park Garden",38.983199,-77.341823,12,2024-12-04 10:13:44
"0826183f-1f3f-11e7-bf6b-3863bb334450","16th & R St NW",38.912652,-77.036278,19,2024-12-04 10:13:44
"0824a703-1f3f-11e7-bf6b-3863bb334450","D St & Maryland Ave NE",38.8948406424707,-76.9959157705307,23,2024-12-04 10:13:44
"3d8b6392-9572-4c65-b71c-fd8f03af9ab2","Emma Lee St & Morris St",38.877818,-77.209421,12,2024-12-04 10:13:44
"0825e56c-1f3f-11e7-bf6b-3863bb334450","Shady Grove Metro West",39.119765,-77.166093,19,2024-12-04 10:13:44
"08255063-1f3f-11e7-bf6b-3863bb334450","17th St & Massachusetts Ave NW",38.908568,-77.038542,19,2024-12-04 10:13:44
"6e652351-dad9-45e4-a0a7-dda0417973f4","E Fairfax St & S Washington St",38.880612,-77.171891,12,2024-12-04 10:13:44
"a07bd5e0-5136-4285-ae23-54a74124957e","Montello Ave & Holbrook Terr NE",38.907444,-76.986813,19,2024-12-04 10:13:44
